
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,1,2013-09-05,26-226,BAL,@,DEN,L 27-49,12,36,3.00,1,11,8,35,4.38,0,,1,6
2,2,2013-09-15,26-236,BAL,,CLE,W 14-6,13,36,2.77,0,3,3,9,3.00,0,,0,0
3,4,2013-09-29,26-250,BAL,@,BUF,L 20-23,5,17,3.40,0,1,0,0,,0,,0,0
4,5,2013-10-06,26-257,BAL,@,MIA,W 26-23,27,74,2.74,2,7,6,28,4.67,0,,2,12
5,6,2013-10-13,26-264,BAL,,GNB,L 17-19,14,34,2.43,0,4,3,15,5.00,0,,0,0
6,7,2013-10-20,26-271,BAL,@,PIT,L 16-19,15,45,3.00,0,5,4,27,6.75,0,,0,0
7,8,2013-11-03,26-285,BAL,@,CLE,L 18-24,11,17,1.55,0,3,3,21,7.00,0,,0,0
8,9,2013-11-10,26-292,BAL,,CIN,W 20-17,18,30,1.67,0,6,6,26,4.33,0,,0,0
9,10,2013-11-17,26-299,BAL,@,CHI,L 20-23,25,131,5.24,1,5,3,17,5.67,0,,1,6
10,11,2013-11-24,26-306,BAL,,NYJ,W 19-3,16,30,1.88,0,1,1,-3,-3.00,0,,0,0
11,12,2013-11-28,26-310,BAL,,PIT,W 22-20,12,32,2.67,0,7,6,38,6.33,0,,0,0
12,13,2013-12-08,26-320,BAL,,MIN,W 29-26,17,67,3.94,0,5,5,42,8.40,0,,0,0
13,14,2013-12-16,26-328,BAL,@,DET,W 18-16,12,56,4.67,0,4,1,8,8.00,0,,0,0
14,15,2013-12-22,26-334,BAL,,NWE,L 7-41,11,40,3.64,0,3,2,23,11.50,0,,0,0
15,16,2013-12-29,26-341,BAL,@,CIN,L 17-34,6,15,2.50,0,7,7,35,5.00,0,1,0,2
,,15 Games,,,,,7-8-0,214,660,3.08,4,72,58,321,5.53,0,1,4,26